id,customer_id,branch_id,product_code,type,currency,balance,lien_amount,status,last_trans_date,created_at
1000000001600,00000016,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-04-28T00:00:00Z
1000000001700,00000017,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,10.66,0,ACTIVE,,2017-05-03T00:00:00Z
1000000001900,00000019,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,1.6,0,ACTIVE,,2017-05-04T00:00:00Z
1000000002100,00000021,BR001,PRD-AUTO-LOAN-SERVICING-PI-108FD4F2,CURRENT,GHS,0,0,ACTIVE,,2017-05-10T00:00:00Z
1000000002400,00000024,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-05-10T00:00:00Z
1000000002600,00000026,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-05-17T00:00:00Z
1000000002800,00000028,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2018-06-12T00:00:00Z
1000000002900,00000029,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-05-30T00:00:00Z
1000000003100,00000031,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-06-01T00:00:00Z
1000000003200,00000032,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-06-12T00:00:00Z
1000000003400,00000034,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-06-16T00:00:00Z
1000000003500,00000035,BR001,PRD-CURRENT-ACCOUNT-PI-247F9FBF,CURRENT,GHS,0,0,DORMANT,,2017-06-19T00:00:00Z
1000000003700,00000037,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-06-22T00:00:00Z
1000000003900,00000039,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,26.15,0,ACTIVE,,2017-07-12T00:00:00Z
1000000004000,00000040,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-07-12T00:00:00Z
1000000004100,00000041,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-10-13T00:00:00Z
1000000004200,00000042,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-07-18T00:00:00Z
1000000004600,00000046,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,23.14,0,ACTIVE,,2017-08-10T00:00:00Z
1000000004700,00000047,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2019-09-25T00:00:00Z
1000000005000,00000050,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-08-15T00:00:00Z
1000000005001,00000050,BR001,PRD-CURRENT-ACCOUNT-PI-247F9FBF,CURRENT,GHS,0,0,ACTIVE,,2026-03-31T00:00:00Z
1000000005002,00000050,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2026-03-31T00:00:00Z
1000000005100,00000051,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0.36,0,ACTIVE,,2017-08-25T00:00:00Z
1000000005200,00000052,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-09-04T00:00:00Z
1000000005600,00000056,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-09-22T00:00:00Z
1000000005900,00000059,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-10-06T00:00:00Z
1000000006000,00000060,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-10-09T00:00:00Z
1000000006200,00000062,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-10-17T00:00:00Z
1000000006400,00000064,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-10-18T00:00:00Z
1000000006600,00000066,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,306.17,0,ACTIVE,,2017-11-06T00:00:00Z
1000000006700,00000067,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-11-13T00:00:00Z
1000000006900,00000069,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-12-14T00:00:00Z
1000000007100,00000071,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2017-12-29T00:00:00Z
1000000007400,00000074,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2018-01-11T00:00:00Z
1000000007600,00000076,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2018-01-15T00:00:00Z
1000000008000,00000080,BR001,PRD-LOAN-SERVICING-PI-2D8CB05F,CURRENT,GHS,0,0,ACTIVE,,2018-01-19T00:00:00Z
