code,branch_code,name,category,currency,balance,is_header
110.100.01,-01,Int. Received Bus. Loans,INCOME,GHS,-6514.75,false
110.100.01,-02,Int. Received Bus. Loans,INCOME,GHS,-23071.14,false
110.100.01,-03,Int. Received Bus. Loans,INCOME,GHS,-14806.02,false
110.100.01,-04,Int. Received Bus. Loans,INCOME,GHS,-8957.14,false
110.100.01,-05,Int. Received Bus. Loans,INCOME,GHS,0,false
110.100.01,-07,Int. Received Bus. Loans,INCOME,GHS,0,false
110.100.01,-09,Int. Received Bus. Loans,INCOME,GHS,-23336.639999999999,false
110.100.01,-10,Int. Received Bus. Loans,INCOME,GHS,-4014.7,false
110.100.01,-23,Int. Received Nkosuo Loans (Interest income - Customer's loans),INCOME,GHS,-29306.19,false
114.100.01,-00,Int. Agric loan,INCOME,GHS,0,false
114.100.01,-01,Int. Agric loan,INCOME,GHS,0,false
116.100.01,-01,Int. Rec'd  Payroll Loans,INCOME,GHS,-43682.58,false
116.100.01,-02,Int. Rec'd  Payroll Loans,INCOME,GHS,-100.97,false
116.100.01,-03,Int. Rec'd  Payroll Loans,INCOME,GHS,0,false
116.100.01,-04,Int. Rec'd  Payroll Loans,INCOME,GHS,-3043.33,false
116.100.01,-05,Int. Rec'd  Payroll Loans,INCOME,GHS,-1477.05,false
116.100.01,-07,Int. Rec'd  Payroll Loans,INCOME,GHS,-620.49,false
116.100.01,-10,Int. Rec'd  Payroll Loans,INCOME,GHS,-1529.7,false
116.100.01,-23,Int. Rec'd  Payroll Loans (Interest income - Customer's loans),INCOME,GHS,-1972.48,false
117.100.01,-00,Int. Rec'd Staff Loans,INCOME,GHS,-30606.86,false
118.100.01,-00,Int./Discount Rec'd on Investments,INCOME,GHS,-2862153.91,false
118.100.02,-00,Int./Rec'd on Banks account,INCOME,GHS,-422078.24,false
119.100.01,-01,Amortised processing fees - Bus. Loans,INCOME,GHS,-704.95,false
119.100.01,-02,Amortised processing fees - Bus. Loans,INCOME,GHS,-1973.17,false
119.100.01,-03,Amortised processing fees - Bus. Loans,INCOME,GHS,-1805.18,false
119.100.01,-04,Amortised processing fees - Bus. Loans,INCOME,GHS,-904.94,false
119.100.01,-05,Amortised processing fees - Bus. Loans,INCOME,GHS,0,false
119.100.01,-07,Amortised processing fees - Bus. Loans,INCOME,GHS,0,false
119.100.01,-09,Amortised processing fees - Bus. Loans,INCOME,GHS,-1996.32,false
119.100.01,-10,Amortised processing fees - Bus. Loans,INCOME,GHS,-599.39,false
119.100.01,-23,Amortised processing fees - Bus. Loans (Disbursement Fees - Customers),INCOME,GHS,-3666.68,false
119.100.08,-00,Amortised processing fees - Agric loan,INCOME,GHS,0,false
119.100.08,-01,Amortised processing fees - Agric loan,INCOME,GHS,0,false
119.100.10,-00,Amortised processing fees - Payroll Loans,INCOME,GHS,0,false
119.100.10,-01,Amortised processing fees - Payroll Loans,INCOME,GHS,-891.91,false
119.100.10,-02,Amortised processing fees - Payroll Loans,INCOME,GHS,-21.11,false
119.100.10,-03,Amortised processing fees - Payroll Loans,INCOME,GHS,0,false
