id,name,type,currency,status,interest_rate,description,interest_method,min_amount,max_amount,min_term,max_term,default_term
LNP-ABAPA-LN-1B5C0461,ABAPA_LN,LOAN,GHS,ACTIVE,44,Migrated from legacy loan product 'ABAPA_LN'.,Flat,,,,,6
LNP-ABAPA-LN-OLD-4A5BA479,ABAPA_LN_Old,LOAN,GHS,ACTIVE,52,Migrated from legacy loan product 'ABAPA_LN_Old'.,Flat,,,,,6
LNP-AGRIC-LOAN-1-68089D82,Agric Loan 1,LOAN,GHS,ACTIVE,44,Migrated from legacy loan product 'Agric Loan 1'.,Flat,,,,,7
LNP-AGRIC-LOAN-2-9C3B9074,Agric Loan 2,LOAN,GHS,ACTIVE,42,Migrated from legacy loan product 'Agric Loan 2'.,Flat,,,,,2
LNP-AGRIC-LOAN-3-17BC4B71,Agric Loan 3,LOAN,GHS,ACTIVE,30,Migrated from legacy loan product 'Agric Loan 3'.,Flat,,,,,3
LNP-AUTO-LEAS-TAXI-59CB8785,AUTO_LEAS_TAXI,LOAN,GHS,ACTIVE,44,Migrated from legacy loan product 'AUTO_LEAS_TAXI'.,Flat,,,,,12
LNP-AUTO-LEAS-TRO-0DB6C069,AUTO_LEAS_TRO,LOAN,GHS,ACTIVE,191,Migrated from legacy loan product 'AUTO_LEAS_TRO'.,Flat,,,,,64
LNP-AUTO-LOAN-AFD9D220,AUTO_LOAN,LOAN,GHS,ACTIVE,191,Migrated from legacy loan product 'AUTO_LOAN'.,Flat,,,,,29
LNP-CASH-BACK-LOAN-55FC1D39,CASH BACK LOAN,LOAN,GHS,ACTIVE,34,Migrated from legacy loan product 'CASH BACK LOAN'.,Flat,,,,,6
LNP-CASH-BACK-OLD-22C76577,CASH BACK Old,LOAN,GHS,ACTIVE,34,Migrated from legacy loan product 'CASH BACK Old'.,Flat,,,,,8
LNP-FL-LNS-2DA93DF7,FL_LNS,LOAN,GHS,ACTIVE,44,Migrated from legacy loan product 'FL_LNS'.,Flat,,,,,8
LNP-GRP-16WEEKS-OLD-8F0F06C8,GRP_16WEEKS_Old,LOAN,GHS,ACTIVE,191,Migrated from legacy loan product 'GRP_16WEEKS_Old'.,Flat,,,,,24
LNP-GRP-20WEEKS-OLD-7FDF2FB5,GRP_20WEEKS_Old,LOAN,GHS,ACTIVE,52,Migrated from legacy loan product 'GRP_20WEEKS_Old'.,Flat,,,,,4
LNP-GRP-24WEEKS-OLD-17CD60ED,GRP_24WEEKS_Old,LOAN,GHS,ACTIVE,191,Migrated from legacy loan product 'GRP_24WEEKS_Old'.,Flat,,,,,24
LNP-NK-LNS-128EEB5B,NK_LNS,LOAN,GHS,ACTIVE,45,Migrated from legacy loan product 'NK_LNS'.,Flat,,,,,8
LNP-NK-LNS-OLD-BDF15FEE,NK_LNS_Old,LOAN,GHS,ACTIVE,44,Migrated from legacy loan product 'NK_LNS_Old'.,Flat,,,,,8
LNP-NKOSUO-LOANTHREE-6A284E88,NKOSUO_LOANTHREE,LOAN,GHS,ACTIVE,27,Migrated from legacy loan product 'NKOSUO_LOANTHREE'.,Flat,,,,,36
LNP-NKOSUO-LOANTWO-819A5066,NKOSUO LOANTWO,LOAN,GHS,ACTIVE,36,Migrated from legacy loan product 'NKOSUO LOANTWO'.,Flat,,,,,31
LNP-PRI-SEC-LOAN-44726269,PRI_SEC_LOAN,LOAN,GHS,ACTIVE,33,Migrated from legacy loan product 'PRI_SEC_LOAN'.,Flat,,,,,13
LNP-PRI-SEC-LOAN-OLD-25071A64,PRI_SEC_LOAN_Old,LOAN,GHS,ACTIVE,33,Migrated from legacy loan product 'PRI_SEC_LOAN_Old'.,Flat,,,,,7
LNP-PUB-SEC-LOAN-7945DE50,PUB_SEC_LOAN,LOAN,GHS,ACTIVE,42,Migrated from legacy loan product 'PUB_SEC_LOAN'.,Flat,,,,,13
LNP-PUB-SEC-LOAN-CONT-2BDD88D8,PUB_SEC_LOAN_CONT,LOAN,GHS,ACTIVE,24,Migrated from legacy loan product 'PUB_SEC_LOAN_CONT'.,Flat,,,,,20
LNP-PUB-SEC-LOAN-CONT-OLD-923DAE7F,PUB_SEC_LOAN_CONT_OLD,LOAN,GHS,ACTIVE,24,Migrated from legacy loan product 'PUB_SEC_LOAN_CONT_OLD'.,Flat,,,,,25
LNP-PUB-SEC-LOAN-OLD-66CD93DD,PUB_SEC_LOAN_Old,LOAN,GHS,ACTIVE,44,Migrated from legacy loan product 'PUB_SEC_LOAN_Old'.,Flat,,,,,24
LNP-QUC-LNS-A723D83C,QUC_LNS,LOAN,GHS,ACTIVE,52,Migrated from legacy loan product 'QUC_LNS'.,Flat,,,,,6
LNP-QUC-LNS-OLD-3F3C857D,QUC_LNS_Old,LOAN,GHS,ACTIVE,44,Migrated from legacy loan product 'QUC_LNS_Old'.,Flat,,,,,3
LNP-ROYALSU-LNS-031EC056,ROYALSU_LNS,LOAN,GHS,ACTIVE,44,Migrated from legacy loan product 'ROYALSU_LNS'.,Flat,,,,,6
LNP-SME-3F560884,SME,LOAN,GHS,ACTIVE,45,Migrated from legacy loan product 'SME'.,Flat,,,,,6
LNP-SME-OLD-66B1422E,SME_Old,LOAN,GHS,ACTIVE,44,Migrated from legacy loan product 'SME_Old'.,Flat,,,,,10
